empnum,costcenterlv2,effectivedate
206,Others Tech,2022-11-01
206,Tech,
207,Risk Management,2023-01-01
207,Risk Management,2022-11-01
207,Risk Management,
208,Information Security,
209,,
210,Risk Management,2023-01-01
210,Risk Management,2022-11-01
210,Risk Management,
211,,
212,,
213,Human Resources,
214,,
215,,
216,,
217,Others Tech,2022-11-01
217,Tech,
218,Growth,
219,Compliance Program Management,
220,Risk Management,2023-01-01
220,Risk Management,2022-11-01
220,Risk Management,
221,CCO_Infrastructure Compliance,2023-01-14
221,CCO_Infrastructure Compliance,2022-11-01
221,Compliance Operations,
222,Customer Experience,
223,,
224,Product Management,2022-11-01
224,Product,
225,Application Security,2022-11-01
225,Information Security,
226,,
227,,
228,,
229,,
230,Risk Management,2023-01-01
230,Risk Management,2022-11-01
230,Risk Management,
231,,
232,Exchange and Derivatives Tech,2022-11-01
232,Tech,
233,Data Intelligence,2022-11-01
233,Data Intelligence,
234,Application Security,2022-11-01
234,Information Security,
235,Exchange and Derivatives Tech,2022-11-01
235,Tech,
236,Finance and Accounting,2022-11-01
236,Administration,
237,Product,
238,Others Tech,2022-11-01
238,Tech,
239,Strategy and Research,2022-11-01
239,Strategy and Research,
240,,
241,Customer Experience,
242,,
243,,
244,,
245,Others Tech,2022-11-01
245,Tech,
246,Tech,
247,Others Tech,2022-11-01
247,Tech,
248,,
249,Exchange and Derivatives Tech,2022-11-01
249,Tech,
250,CCO_Infrastructure Compliance,2023-01-14
250,CCO_Infrastructure Compliance,2022-11-01
250,Compliance Operations,
251,CCO_Infrastructure Compliance,2023-01-14
251,CCO_Infrastructure Compliance,2022-11-01
251,Regulatory Compliance,2022-04-18
251,Compliance Program Management,
252,,
253,Blockchain,2022-11-01
253,Blockchain,
254,IT Infrastructure & Operations,2022-11-01
254,Information Security,
255,,
256,Data Intelligence,2022-11-01
256,Data Intelligence,
257,Blockchain,2022-11-01
257,Blockchain,
258,CCO_Infrastructure Compliance,2023-01-14
258,CCO_Infrastructure Compliance,2022-11-01
258,Regulatory Compliance,2022-08-01
258,KYC,
259,KYC,2023-01-01
259,KYC,2022-11-01
259,KYC,
260,Blockchain,
261,,
262,Customer Experience,
264,Institutional Sales and Account Management,
265,Product Management,2022-11-01
265,Product,
266,Exchange and Derivatives Tech,2022-11-01
266,Tech,
267,,
268,Legal,2022-11-01
268,Legal,
269,,
270,,
271,,
272,Strategy and Research,2022-11-01
272,New Venture Operations,
273,Finance and Accounting,2022-11-01
273,Finance and Accounting,
274,,
275,Customer Experience,
276,,
277,,
279,Product QA,2022-11-01
279,Product,
280,Exchange and Derivatives Tech,2022-11-01
280,Tech,
281,,
282,Exchange and Derivatives Tech,2022-11-01
282,Tech,
283,,
284,,
285,Administration,2022-11-01
285,Administration,
286,KYC,2023-01-01
286,KYC,2022-11-01
286,KYC,
287,,
288,Community Management Department,
289,,
290,Institutional Sales and Account Management,
291,Finance and Accounting,2022-11-01
291,Finance and Accounting,
292,KYC,2023-01-01
292,KYC,2022-11-01
292,KYC,
293,KYC,
294,Community Management,2022-11-01
294,Community Management Department,
295,Talent Acquisition,2023-01-17
295,Talent Acquisition,2022-11-01
295,Human Resources,
296,Exchange and Derivatives Tech,2022-11-01
296,Tech,
297,Blockchain,2022-11-01
297,Blockchain,
298,Data Intelligence,2022-11-01
298,Data Intelligence,
299,Main App Tech,2022-11-01
299,Tech,
300,Creative,
301,Exchange and Derivatives Tech,2022-11-01
301,Tech,
302,,
303,,
304,,
305,,
306,,
307,Community Management,2022-11-01
307,Community Management Department,
308,,
309,Exchange and Derivatives Tech,2022-11-01
309,Tech,
310,Exchange and Derivatives Tech,2022-11-01
310,Tech,
311,KYC,2023-01-01
311,KYC,2022-11-01
311,KYC,
312,Community Management,2022-11-01
312,Community Management Department,
313,Community Management,2022-11-01
313,Community Management Department,
314,,
315,,
316,,
317,Exchange and Derivatives Tech,2022-11-01
317,Tech,
318,Customer Experience,2023-01-01
318,Customer Experience,2022-11-01
318,Customer Experience,
319,Customer Experience,2023-01-01
319,Customer Experience,2022-11-01
319,Customer Experience,
320,Customer Experience,
321,Compliance Operations,
322,CCO_Infrastructure Compliance,2023-01-14
322,CCO_Infrastructure Compliance,2022-11-01
322,Compliance Operations,
323,Customer Experience,
324,Customer Experience,2023-01-01
324,Customer Experience,2022-11-01
324,Customer Experience,
325,,
326,KYC,
327,,
328,,
329,,
330,Marketing,2023-01-16
330,Growth,2022-11-01
330,Growth,
331,Marketing,
332,KYC,2022-11-01
332,KYC,
333,,
334,,
335,Information Security,
336,Marketing,2023-01-16
336,Growth,2022-11-01
336,Growth,
337,Cybersecurity Services & Incident Response,2022-11-01
337,Information Security,
338,Customer Experience,2023-01-01
338,Customer Experience,2022-11-01
338,Customer Experience,
339,Risk Management,2023-01-01
339,Risk Management,2022-11-01
339,Risk Management,
340,Customer Experience,2023-01-01
340,Customer Experience,2022-11-01
340,Customer Experience,
341,Customer Experience,2023-01-01
341,Customer Experience,2022-11-01
341,Customer Experience,
342,Customer Experience,
343,,
344,Customer Experience,2022-11-01
344,Customer Experience,
345,Customer Experience,2023-01-01
345,Customer Experience,2022-11-01
345,Customer Experience,
346,,
347,Community Management Department,
348,,
349,Exchange and Derivatives Tech,2022-11-01
349,Tech,
350,NFT,2023-02-01
350,NFT,2022-11-01
350,New Venture Operations,2022-09-01
350,Community Management Department,
351,,
352,Main App Tech,2022-11-01
352,Tech,
353,Information Security,
354,Product QA,2022-11-01
354,Product,
355,KYC,
356,,
357,,
358,Product QA,2022-11-01
358,Product,
359,Blockchain,
360,,
361,"Governance, Risk & Compliance",2022-11-01
361,Information Security,
362,Product,
363,Customer Experience,
364,,
365,Customer Experience,
366,Customer Experience,2023-01-01
366,Customer Experience,2022-11-01
366,Customer Experience,
367,Customer Experience,
368,Customer Experience,2023-01-01
368,Customer Experience,2022-11-01
368,Customer Experience,
369,Customer Experience,
370,,
371,Community Management Department,
372,,
373,CCO_Local Market Compliance,2022-11-01
373,Risk Management,
374,CCO_Local Market Compliance,2022-11-01
374,Regulatory Compliance,
375,Legal,2022-11-01
375,Legal,
376,,
377,Data Intelligence,2022-11-01
377,Data Intelligence,
378,Exchange and Derivatives Tech,2022-11-01
378,Tech,
379,Exchange and Derivatives Tech,2022-11-01
379,Tech,
380,Exchange and Derivatives Tech,2022-11-01
380,Tech,
381,Human Resources,2022-11-01
381,Human Resources,
382,Human Resources,
383,Customer Experience,
384,KYC,2023-01-01
384,KYC,2022-11-01
384,KYC,
385,Risk Management,2022-11-01
385,Risk Management,
386,Exchange and Derivatives Tech,2022-11-01
386,Tech,
387,Product Management,2022-11-01
387,Product,
388,Blockchain Security,2022-11-01
388,Information Security,
389,,
390,,
391,Marketing,2023-01-16
391,Creative,2022-11-01
391,Creative,
392,Blockchain Security,2022-11-01
392,Information Security,
393,Others Tech,2022-11-01
393,Tech,
394,CCO_Local Market Compliance,2022-11-01
394,Regulatory Compliance,
395,,
396,,
397,,
398,,
399,Customer Experience,
400,Customer Experience,2023-01-01
400,Customer Experience,2022-11-01
400,Customer Experience,
401,Customer Experience,2023-01-01
401,Customer Experience,2022-11-01
401,Customer Experience,
402,Customer Experience,
403,Customer Experience,2023-01-01
403,Customer Experience,2022-11-01
403,Customer Experience,
404,Customer Experience,2023-01-01
404,Customer Experience,2022-11-01
404,Customer Experience,
405,,
406,Customer Experience,2023-01-01
406,Customer Experience,2022-11-01
406,Customer Experience,
407,Customer Experience,
408,Customer Experience,
409,,
410,Others Tech,2022-11-01
410,Tech,
411,Product QA,2022-11-01
411,Product,
412,Community Management Department,
413,,
414,,
415,Risk Management,2023-01-01
415,Risk Management,2022-11-01
415,Risk Management,
416,CCO_Infrastructure Compliance,2023-01-14
416,CCO_Infrastructure Compliance,2022-11-01
416,Compliance Operations,
417,Executive,2022-11-01
417,Compliance Leadership,
418,,
419,,
420,Community Management,2022-11-01
420,Community Management Department,
421,,
422,Customer Experience,
423,,
424,,
425,Customer Experience,2023-01-01
425,Customer Experience,2022-11-01
425,Customer Experience,
426,,
427,Customer Experience,
428,Customer Experience,2023-01-01
428,Customer Experience,2022-11-01
428,Customer Experience,
429,Customer Experience,
430,Customer Experience,2023-01-01
430,Customer Experience,2022-11-01
430,Customer Experience,
431,Customer Experience,2023-01-01
431,Customer Experience,2022-11-01
431,Customer Experience,
432,Risk Management,2023-01-01
432,Risk Management,2022-11-01
432,Risk Management,
433,Customer Experience,2023-01-01
433,Customer Experience,2022-11-01
433,Customer Experience,
434,Human Resources,
435,Finance and Accounting,2023-01-01
435,Customer Experience,2022-11-01
435,Customer Experience,
436,,
437,,
438,Administration,2022-11-01
438,Administration,
439,Talent Acquisition,2023-01-17
439,Talent Acquisition,2022-11-01
439,Human Resources,
440,Community Management Department,
441,Product Management,2022-11-01
441,Product,
442,Payments and Reconciliation,2022-11-01
442,Payments and Reconciliation,
443,Community Management,2022-11-01
443,Community Management Department,
444,,
445,Blockchain Security,2022-11-01
445,Information Security,
446,,
447,Others Tech,2022-11-01
447,Tech,
448,Creative,
449,Information Security,
450,Customer Experience,2022-11-01
450,Customer Experience,
451,KYC,2023-01-01
451,KYC,2022-11-01
451,KYC,
452,KYC,2023-01-01
452,KYC,2022-11-01
452,KYC,
453,Risk Management,2023-01-01
453,Risk Management,2022-11-01
453,Risk Management,
454,Customer Experience,2023-01-01
454,Customer Experience,2022-11-01
454,Customer Experience,
455,Customer Experience,2023-01-01
455,Customer Experience,2022-11-01
455,Customer Experience,
456,Customer Experience,2023-01-01
456,Customer Experience,2022-11-01
456,Customer Experience,
457,Customer Experience,2023-01-01
457,Customer Experience,2022-11-01
457,Customer Experience,
458,,
459,Customer Experience,
460,Customer Experience,2023-01-01
460,Customer Experience,2022-11-01
460,Customer Experience,
461,KYC,2023-01-01
461,KYC,2022-11-01
461,KYC,
462,,
463,Customer Experience,2023-01-01
463,Customer Experience,2022-11-01
463,Customer Experience,
464,Customer Experience,2023-01-01
464,Customer Experience,2022-11-01
464,Customer Experience,
465,Customer Experience,2023-01-01
465,Customer Experience,2022-11-01
465,Customer Experience,
466,,
467,Customer Experience,
468,,
469,,
470,Risk Management,
471,,
472,,
473,Customer Experience,
474,Customer Experience,2023-01-01
474,Customer Experience,2022-11-01
474,Customer Experience,
475,Customer Experience,
476,Customer Experience,2023-01-01
476,Customer Experience,2022-11-01
476,Customer Experience,
477,,
478,,
479,Customer Experience,
480,Data Intelligence,2022-11-01
480,Data Intelligence,
481,,
482,Product Management,2022-11-01
482,Product,
483,,
484,,
485,Data Proetction & Privacy,2022-11-01
485,Information Security,
486,Payments and Reconciliation,2023-01-01
486,Payments and Reconciliation,2022-11-01
486,Payments and Reconciliation,
487,Community Management Department,
488,,
489,Others Tech,2022-11-01
489,Tech,
491,CCO_Infrastructure Compliance,2023-01-14
491,CCO_Infrastructure Compliance,2022-11-01
491,Compliance Operations,
492,Derivative Trading,2022-11-01
492,Derivative Trading,
493,Application Security,2022-11-01
493,Information Security,
494,Application Security,2022-11-01
494,Information Security,
495,IT Infrastructure & Operations,2022-11-01
495,Information Security,
496,Marketing,
497,,
498,Expansion/GBS,2022-11-01
498,Global Business Solutions,
499,NFT,2022-11-01
499,New Venture Operations,
500,Payments and Reconciliation,2023-01-01
500,Payments and Reconciliation,2022-11-01
500,Payments and Reconciliation,
501,,
502,Customer Experience,2023-01-01
502,Customer Experience,2022-11-01
502,Customer Experience,
503,KYC,2023-01-01
503,KYC,2022-11-01
503,KYC,
504,KYC,2023-01-01
504,KYC,2022-11-01
504,KYC,
505,,
506,Customer Experience,2023-01-01
506,Customer Experience,2022-11-01
506,Customer Experience,
507,Risk Management,2023-01-01
507,Risk Management,2022-11-01
507,Risk Management,
508,Customer Experience,2023-01-01
508,Customer Experience,2022-11-01
508,Customer Experience,
509,Customer Experience,2023-01-01
509,Customer Experience,2022-11-01
509,Customer Experience,
510,,
511,Risk Management,
512,Customer Experience,2023-01-01
512,Customer Experience,2022-11-01
512,Customer Experience,
513,Customer Experience,2023-01-01
513,Customer Experience,2022-11-01
513,Customer Experience,
514,Customer Experience,2023-01-01
514,Customer Experience,2022-11-01
514,Customer Experience,
515,Customer Experience,2023-01-01
515,Customer Experience,2022-11-01
515,Customer Experience,
516,Customer Experience,2023-01-01
516,Customer Experience,2022-11-01
516,Customer Experience,
517,,
518,Risk Management,2023-01-01
518,Customer Experience,2022-11-01
518,Customer Experience,
519,Risk Management,2023-01-01
519,Risk Management,2022-11-01
519,Risk Management,
520,,
521,Customer Experience,
522,,
523,Customer Experience,
524,Creative,2022-11-01
524,Creative,
525,Blockchain,2022-11-01
525,Blockchain,
526,,
527,Human Resources,
528,Finance and Accounting,2022-11-01
528,Finance and Accounting,
529,Quant Trading,
530,IT Infrastructure & Operations,2022-11-01
530,Information Security,
531,Tech,
532,Others Tech,2022-11-01
532,Tech,
533,Data Proetction & Privacy,2022-11-01
533,Information Security,
534,Risk Management,
535,,
536,Main App Tech,2022-11-01
536,Tech,
537,,
538,,
539,Blockchain,2022-11-01
539,Blockchain,
540,,
541,Payments and Reconciliation,2023-01-01
541,Payments and Reconciliation,2022-11-01
541,Payments and Reconciliation,
542,CCO_Infrastructure Compliance,2023-01-14
542,CCO_Infrastructure Compliance,2022-11-01
542,Compliance Operations,
543,Customer Experience,2023-01-01
543,Customer Experience,2022-11-01
543,Customer Experience,
544,Customer Experience,2023-01-01
544,Customer Experience,2022-11-01
544,Customer Experience,
545,,
546,Customer Experience,2023-01-01
546,Customer Experience,2022-11-01
546,Customer Experience,
547,,
548,Customer Experience,
549,Customer Experience,2023-01-01
549,Customer Experience,2022-11-01
549,Customer Experience,
550,,
551,Customer Experience,2023-01-01
551,Customer Experience,2022-11-01
551,Customer Experience,
552,Customer Experience,
553,Customer Experience,2022-11-01
553,Customer Experience,
554,,
555,Customer Experience,2023-01-01
555,Customer Experience,2022-11-01
555,Customer Experience,
556,,
557,Customer Experience,2023-01-01
557,Customer Experience,2022-11-01
557,Customer Experience,
558,,
559,,
560,Customer Experience,2023-01-01
560,Customer Experience,2022-11-01
560,Customer Experience,
561,,
562,Customer Experience,
563,,
564,Customer Experience,2023-01-01
564,Customer Experience,2022-11-01
564,Customer Experience,
565,Customer Experience,2023-01-01
565,Customer Experience,2022-11-01
565,Customer Experience,
566,,
567,CCO_Infrastructure Compliance,2023-01-14
567,CCO_Infrastructure Compliance,2022-11-01
567,Compliance Operations,
568,,
569,Marketing,2023-01-16
569,Growth,2022-11-01
569,Growth,
570,Institutional Sales and Account Management,
571,IT Infrastructure & Operations,2022-11-01
571,Information Security,
572,,
573,Information Security,
574,,
575,,
576,Risk Management,2023-01-01
576,Risk Management,2022-11-01
576,Risk Management,
577,Risk Management,2023-01-01
577,Risk Management,2022-11-01
577,Risk Management,
578,Quant Trading Desk Spot,2022-11-01
578,Quant Trading,
579,Marketing,2023-01-16
579,Growth,2022-11-01
579,Growth,
580,Marketing,2023-01-16
580,Growth,2022-11-01
580,Growth,
582,,
583,,
584,Customer Experience,2023-01-01
584,Customer Experience,2022-11-01
584,Customer Experience,
585,,
586,,
587,Customer Experience,2023-01-01
587,Customer Experience,2022-11-01
587,Customer Experience,
588,,
589,Customer Experience,
590,Customer Experience,2023-01-01
590,Customer Experience,2022-11-01
590,Customer Experience,
591,,
592,Customer Experience,2023-01-01
592,Customer Experience,2022-11-01
592,Customer Experience,
593,Risk Management,
594,Customer Experience,2022-11-01
594,Customer Experience,
595,Customer Experience,
596,Customer Experience,2023-01-01
596,Customer Experience,2022-11-01
596,Customer Experience,
597,,
598,,
599,Customer Experience,
600,Customer Experience,
601,Blockchain Security,2022-11-01
601,Information Security,
602,,
603,Exchange and Derivatives Tech,2022-11-01
603,Tech,
604,,
605,Exchange and Derivatives Tech,2022-11-01
605,Tech,
606,"Governance, Risk & Compliance",2022-11-01
606,Information Security,
607,Payments and Reconciliation,2023-01-01
607,Payments and Reconciliation,2022-11-01
607,Payments and Reconciliation,
608,Information Security,
609,Global Business Solutions,
610,Crypto.com Capital,2022-11-01
610,"Executive, General Manager and Others",
611,Information Security,
612,,
613,,
614,,
615,,
616,KYC,2022-11-01
616,KYC,
617,Customer Experience,
618,,
619,,
620,Customer Experience,2023-01-01
620,Customer Experience,2022-11-01
620,Customer Experience,
621,,
622,Customer Experience,2023-01-01
622,Customer Experience,2022-11-01
622,Customer Experience,
623,,
624,,
625,Customer Experience,2023-01-01
625,Customer Experience,2022-11-01
625,Customer Experience,
626,Customer Experience,
627,,
628,,
629,Customer Experience,2023-01-01
629,Customer Experience,2022-11-01
629,Customer Experience,
630,Customer Experience,2023-01-01
630,Customer Experience,2022-11-01
630,Customer Experience,
631,Customer Experience,
632,Risk Management,2023-01-01
632,Risk Management,2022-11-01
632,Risk Management,
633,Customer Experience,2023-01-01
633,Customer Experience,2022-11-01
633,Customer Experience,
634,Customer Experience,2023-01-01
634,Customer Experience,2022-11-01
634,Customer Experience,
635,,
636,,
637,,
638,KYC,2023-01-01
638,KYC,2022-11-01
638,KYC,
639,Customer Experience,
640,Customer Experience,
641,,
642,,
643,,
644,,
645,Product QA,2022-11-01
645,Product,
646,Exchange and Derivatives Tech,2022-11-01
646,Tech,
647,,
648,,
649,,
650,,
651,,
652,CCO_Local Market Compliance,2022-11-01
652,Regulatory Compliance,
653,Global Business Solutions,
654,Cronos,2022-11-01
654,New Venture Operations,
655,,
656,,
657,,
658,Customer Experience,2023-01-01
658,Customer Experience,2022-11-01
658,Customer Experience,
659,,
660,,
661,Customer Experience,2023-01-01
661,Customer Experience,2022-11-01
661,Customer Experience,
662,,
663,Risk Management,2023-01-01
663,Risk Management,2022-11-01
663,Risk Management,
664,,
665,Customer Experience,
666,,
667,Customer Experience,
668,Customer Experience,2023-01-01
668,Customer Experience,2022-11-01
668,Customer Experience,
669,,
670,,
671,,
672,Customer Experience,
673,CCO_Infrastructure Compliance,2023-01-14
673,CCO_Infrastructure Compliance,2022-11-01
673,Compliance Operations,
674,CCO_Infrastructure Compliance,2023-01-14
674,CCO_Infrastructure Compliance,2022-11-01
674,Compliance Operations,
675,,
676,,
677,Customer Experience,2023-01-01
677,Customer Experience,2022-11-01
677,Customer Experience,
678,Customer Experience,2023-01-01
678,Customer Experience,2022-11-01
678,Customer Experience,
679,Risk Management,2023-01-01
679,Risk Management,2022-11-01
679,Risk Management,
680,,
681,Product Management,2022-11-01
681,Product,
682,Legal,2022-11-01
682,Legal,
683,Main App Tech,2022-11-01
683,Tech,
684,,
685,Others Tech,2022-11-01
685,Tech,
686,Application Security,2022-11-01
686,Information Security,
687,CCO_Infrastructure Compliance,2022-11-01
687,Compliance Operations,
688,,
689,Product Management,2022-11-01
689,Product,2022-08-22
689,New Venture Operations,
690,Marketing,2023-01-16
690,Growth,2022-11-01
690,Growth,
691,,
692,Product Management,2022-11-01
692,Product,
693,Product Management,2022-11-01
693,Product,
694,Finance and Accounting,
698,CCO_Infrastructure Compliance,2023-01-14
698,CCO_Infrastructure Compliance,2022-11-01
698,Compliance Operations,
699,CCO_Infrastructure Compliance,2023-01-14
699,CCO_Infrastructure Compliance,2022-11-01
699,Compliance Operations,
700,,
701,KYC,2023-01-01
701,KYC,2022-11-01
701,KYC,
702,Blockchain Security,2022-11-01
702,Information Security,
703,,
704,Others Tech,2022-11-01
704,Tech,
705,Main App Tech,2022-11-01
705,Tech,
706,Others Tech,2022-11-01
706,Tech,
707,KYC,2023-01-01
707,KYC,2022-11-01
707,KYC,
708,Data Intelligence,2022-11-01
708,Data Intelligence,
709,Cronos,2022-11-01
709,New Venture Operations,
710,Others Tech,2022-11-01
710,Tech,
711,,
712,,
713,,
715,Talent Acquisition,2023-01-17
715,Talent Acquisition,2022-11-01
715,Human Resources,
721,Customer Experience,2022-11-01
721,Customer Experience,
722,Customer Experience,
723,Customer Experience,2023-01-01
723,Customer Experience,2022-11-01
723,Customer Experience,
724,Customer Experience,2023-01-01
724,Customer Experience,2022-11-01
724,Customer Experience,
725,Customer Experience,2023-01-01
725,Customer Experience,2022-11-01
725,Customer Experience,
726,,
727,,
728,Customer Experience,
729,Customer Experience,
730,,
731,Customer Experience,2023-01-01
731,Customer Experience,2022-11-01
731,Customer Experience,
732,Customer Experience,
733,,
734,Customer Experience,
735,Customer Experience,
736,,
737,,
738,Customer Experience,2023-01-01
738,Customer Experience,2022-11-01
738,Customer Experience,
739,,
740,IT Infrastructure & Operations,2022-11-01
740,Information Security,
741,Customer Experience,2022-11-01
741,Customer Experience,
742,Marketing,2022-11-01
742,Marketing,
743,Derivative Trading,2023-01-17
743,Executive,2022-11-01
743,Derivative Trading,
744,Quant Trading Desk MO,2022-11-01
744,Quant Trading,
745,Quant Trading Desk Flow,2023-02-07
745,Quant Trading Desk Flow,2022-11-01
745,Quant Trading,
746,Talent Acquisition,2022-11-01
746,Human Resources,
747,Legal,2022-11-01
747,Legal,
748,,
749,Risk Management,2023-01-01
749,Risk Management,2022-11-01
749,Risk Management,
750,Main App Tech,2022-11-01
750,Tech,
751,,
752,Global Business Solutions,
753,,
754,Product Management,2022-11-01
754,Product,2022-09-01
754,New Venture Operations,
755,,
756,Exchange and Derivatives Tech,2022-11-01
756,Tech,
757,Blockchain Security,2022-11-01
757,Information Security,
758,,
759,,
760,Others Tech,2022-11-01
760,Tech,
761,Finance and Accounting,
762,Main App Tech,2022-11-01
762,Tech,
763,Customer Experience,2023-01-01
763,Customer Experience,2022-11-01
763,Customer Experience,
764,Customer Experience,2022-11-01
764,Customer Experience,
765,Customer Experience,
766,KYC,2023-01-01
766,KYC,2022-11-01
766,KYC,
767,,
768,,
769,,
770,,
771,Customer Experience,2023-01-01
771,Customer Experience,2022-11-01
771,Customer Experience,
772,Customer Experience,
773,Customer Experience,2023-01-01
773,Customer Experience,2022-11-01
773,Customer Experience,
774,Customer Experience,2022-11-01
774,Customer Experience,
775,,
776,,
777,CCO_Infrastructure Compliance,2022-11-01
777,Compliance Operations,
778,,
779,Customer Experience,2023-01-01
779,Customer Experience,2022-11-01
779,Customer Experience,
780,Customer Experience,
781,Customer Experience,2023-01-01
781,Customer Experience,2022-11-01
781,Customer Experience,
782,Compliance Operations,
783,Expansion/GBS,2022-11-01
