EmpNum,ExitDate,ExitType,ExitReason
GH00227,14-Jan-2023,Termination (Involuntary),
GH00230,14-Jan-2023,Termination (Involuntary),
GH00234,14-Jan-2023,Termination (Involuntary),
GH00238,14-Jan-2023,Termination (Involuntary),
GH00249,14-Jan-2023,Termination (Involuntary),
GH00264,14-Jan-2023,Termination (Involuntary),
GH00265,14-Jan-2023,Termination (Involuntary),
GH00270,14-Jan-2023,Termination (Involuntary),
GH00285,14-Jan-2023,Termination (Involuntary),
GH00286,14-Jan-2023,Termination (Involuntary),
GH00287,14-Jan-2023,Termination (Involuntary),
GH00289,14-Jan-2023,Termination (Involuntary),
GH00292,14-Jan-2023,Termination (Involuntary),
GH00297,14-Jan-2023,Termination (Involuntary),
GH00299,14-Jan-2023,Termination (Involuntary),
GH00301,14-Jan-2023,Termination (Involuntary),
GH00302,14-Jan-2023,Termination (Involuntary),
GH00306,14-Jan-2023,Termination (Involuntary),
GH00311,14-Jan-2023,Termination (Involuntary),
GH00312,14-Jan-2023,Termination (Involuntary),
GH00314,14-Jan-2023,Termination (Involuntary),
GH00318,14-Jan-2023,Termination (Involuntary),
GH00322,14-Jan-2023,Termination (Involuntary),
GH00326,14-Jan-2023,Termination (Involuntary),
GH00328,14-Jan-2023,Termination (Involuntary),
GH00331,14-Jan-2023,Termination (Involuntary),
GH00335,14-Jan-2023,Termination (Involuntary),
GH00336,14-Jan-2023,Termination (Involuntary),
GH00341,14-Jan-2023,Termination (Involuntary),
GH00342,14-Jan-2023,Termination (Involuntary),
GH00345,14-Jan-2023,Termination (Involuntary),
GH00350,14-Jan-2023,Termination (Involuntary),
GH00351,14-Jan-2023,Termination (Involuntary),
GH00353,14-Jan-2023,Termination (Involuntary),
GH00357,14-Jan-2023,Termination (Involuntary),
GH00367,14-Jan-2023,Termination (Involuntary),
GH00373,14-Jan-2023,Termination (Involuntary),
GH00379,14-Jan-2023,Termination (Involuntary),
GH00383,14-Jan-2023,Termination (Involuntary),
GH00402,14-Jan-2023,Termination (Involuntary),
GH00406,14-Jan-2023,Termination (Involuntary),
GH00412,14-Jan-2023,Termination (Involuntary),
GH00415,14-Jan-2023,Termination (Involuntary),
GH00417,14-Jan-2023,Termination (Involuntary),
GH00418,14-Jan-2023,Termination (Involuntary),
GH00422,14-Jan-2023,Termination (Involuntary),
GH00423,14-Jan-2023,Termination (Involuntary),
GH00429,14-Jan-2023,Termination (Involuntary),
GH00433,14-Jan-2023,Termination (Involuntary),
GH00436,14-Jan-2023,Termination (Involuntary),
GH00439,14-Jan-2023,Termination (Involuntary),
GH00441,14-Jan-2023,Termination (Involuntary),
GH00442,14-Jan-2023,Termination (Involuntary),
GH00443,14-Jan-2023,Termination (Involuntary),
GH00451,14-Jan-2023,Termination (Involuntary),
GH00458,14-Jan-2023,Termination (Involuntary),
GH00460,14-Jan-2023,Termination (Involuntary),
GH00461,14-Jan-2023,Termination (Involuntary),
GH00463,14-Jan-2023,Termination (Involuntary),
GH00468,14-Jan-2023,Termination (Involuntary),
GH00471,14-Jan-2023,Termination (Involuntary),
GH00473,14-Jan-2023,Termination (Involuntary),
GH00476,14-Jan-2023,Termination (Involuntary),
GH00479,14-Jan-2023,Termination (Involuntary),
GH00484,14-Jan-2023,Termination (Involuntary),
GH00485,14-Jan-2023,Termination (Involuntary),
GH00487,14-Jan-2023,Termination (Involuntary),
GH00489,14-Jan-2023,Termination (Involuntary),
GH00490,14-Jan-2023,Termination (Involuntary),
GH00491,14-Jan-2023,Termination (Involuntary),
GH00500,14-Jan-2023,Termination (Involuntary),
GH00505,14-Jan-2023,Termination (Involuntary),
GH00512,14-Jan-2023,Termination (Involuntary),
GH00513,14-Jan-2023,Termination (Involuntary),
GH00517,14-Jan-2023,Termination (Involuntary),
GH00519,14-Jan-2023,Termination (Involuntary),
GH00521,14-Jan-2023,Termination (Involuntary),
GH00522,14-Jan-2023,Termination (Involuntary),
GH00526,14-Jan-2023,Termination (Involuntary),
GH00527,14-Jan-2023,Termination (Involuntary),
GH00530,14-Jan-2023,Termination (Involuntary),
GH00532,14-Jan-2023,Termination (Involuntary),
GH00533,14-Jan-2023,Termination (Involuntary),
GH00534,14-Jan-2023,Termination (Involuntary),
GH00539,14-Jan-2023,Termination (Involuntary),
GH00542,14-Jan-2023,Termination (Involuntary),
GH00544,14-Jan-2023,Termination (Involuntary),
GH00546,14-Jan-2023,Termination (Involuntary),
GH00547,14-Jan-2023,Termination (Involuntary),
GH00553,14-Jan-2023,Termination (Involuntary),
GH00555,14-Jan-2023,Termination (Involuntary),
GH00558,14-Jan-2023,Termination (Involuntary),
GH00560,14-Jan-2023,Termination (Involuntary),
GH00563,14-Jan-2023,Termination (Involuntary),
GH00566,14-Jan-2023,Termination (Involuntary),
GH00569,14-Jan-2023,Termination (Involuntary),
GH00570,14-Jan-2023,Termination (Involuntary),
GH00578,14-Jan-2023,Termination (Involuntary),
GH00579,14-Jan-2023,Termination (Involuntary),
GH00580,14-Jan-2023,Termination (Involuntary),
GH00581,14-Jan-2023,Termination (Involuntary),
GH00590,14-Jan-2023,Termination (Involuntary),
GH00591,14-Jan-2023,Termination (Involuntary),
GH00598,14-Jan-2023,Termination (Involuntary),
GH00599,14-Jan-2023,Termination (Involuntary),
GH00600,14-Jan-2023,Termination (Involuntary),
GH00602,14-Jan-2023,Termination (Involuntary),
GH00604,14-Jan-2023,Termination (Involuntary),
GH00605,14-Jan-2023,Termination (Involuntary),
GH00607,14-Jan-2023,Termination (Involuntary),
GH00614,14-Jan-2023,Termination (Involuntary),
GH00618,14-Jan-2023,Termination (Involuntary),
GH00619,14-Jan-2023,Termination (Involuntary),
GH00621,14-Jan-2023,Termination (Involuntary),
GH00626,14-Jan-2023,Termination (Involuntary),
GH00627,14-Jan-2023,Termination (Involuntary),
GH00629,14-Jan-2023,Termination (Involuntary),
GH00631,14-Jan-2023,Termination (Involuntary),
GH00634,14-Jan-2023,Termination (Involuntary),
GH00636,14-Jan-2023,Termination (Involuntary),
GH00639,14-Jan-2023,Termination (Involuntary),
GH00064,14-Jan-2023,Termination (Involuntary),
GH00203,14-Jan-2023,Termination (Involuntary),
GH00551,14-Jan-2023,Termination (Involuntary),
GH00446,18-Nov-2022,Resignation (Voluntary),
GH00381,31-Oct-2022,Resignation (Voluntary),
GH00008,31-Oct-2022,Resignation (Voluntary),
GH00201,26-Oct-2022,Resignation (Voluntary),
GH00444,21-Oct-2022,Resignation (Voluntary),
GH00321,18-Oct-2022,Resignation (Voluntary),
GH00624,26-Sep-2022,Resignation (Voluntary),
GH00643,20-Sep-2022,Resignation (Voluntary),
GH00469,9-Sep-2022,Resignation (Voluntary),
GH00154,8-Sep-2022,Resignation (Voluntary),
GH00184,26-Aug-2022,Resignation (Voluntary),
GH00378,16-Aug-2022,Resignation (Voluntary),
GH00254,3-Aug-2022,Termination (Involuntary),
GH00428,2-Aug-2022,Resignation (Voluntary),
GH00594,31-Jul-2022,Termination (Involuntary),
GH00215,31-Jul-2022,Termination (Involuntary),
GH00129,31-Jul-2022,Termination (Involuntary),
GH00122,31-Jul-2022,Termination (Involuntary),
GH00164,31-Jul-2022,Termination (Involuntary),
GH00093,31-Jul-2022,Termination (Involuntary),
GH00155,31-Jul-2022,Termination (Involuntary),
GH00163,31-Jul-2022,Termination (Involuntary),
GH00165,31-Jul-2022,Termination (Involuntary),
GH00255,31-Jul-2022,Termination (Involuntary),
GH00278,31-Jul-2022,Termination (Involuntary),
GH00283,31-Jul-2022,Termination (Involuntary),
GH00323,31-Jul-2022,Termination (Involuntary),
GH00338,31-Jul-2022,Termination (Involuntary),
GH00355,31-Jul-2022,Termination (Involuntary),
GH00382,31-Jul-2022,Termination (Involuntary),
GH00401,31-Jul-2022,Termination (Involuntary),
GH00420,31-Jul-2022,Termination (Involuntary),
GH00430,31-Jul-2022,Termination (Involuntary),
GH00483,31-Jul-2022,Termination (Involuntary),
GH00503,31-Jul-2022,Termination (Involuntary),
GH00525,31-Jul-2022,Termination (Involuntary),
GH00541,31-Jul-2022,Termination (Involuntary),
GH00571,31-Jul-2022,Termination (Involuntary),
GH00589,31-Jul-2022,Termination (Involuntary),
GH00603,31-Jul-2022,Termination (Involuntary),
GH00612,31-Jul-2022,Termination (Involuntary),
GH00625,31-Jul-2022,Termination (Involuntary),
GH00622,31-Jul-2022,Termination (Involuntary),
GH00623,31-Jul-2022,Termination (Involuntary),
GH00616,31-Jul-2022,Termination (Involuntary),
GH00620,31-Jul-2022,Termination (Involuntary),
GH00638,31-Jul-2022,Termination (Involuntary),
GH00640,31-Jul-2022,Termination (Involuntary),
GH00133,31-Jul-2022,Termination (Involuntary),
GH00175,31-Jul-2022,Termination (Involuntary),
GH00207,31-Jul-2022,Termination (Involuntary),
GH00209,31-Jul-2022,Termination (Involuntary),
GH00213,31-Jul-2022,Termination (Involuntary),
GH00266,31-Jul-2022,Termination (Involuntary),
GH00284,31-Jul-2022,Termination (Involuntary),
GH00290,31-Jul-2022,Termination (Involuntary),
GH00305,31-Jul-2022,Termination (Involuntary),
GH00317,31-Jul-2022,Termination (Involuntary),
GH00356,31-Jul-2022,Termination (Involuntary),
GH00346,31-Jul-2022,Termination (Involuntary),
GH00434,31-Jul-2022,Termination (Involuntary),
GH00438,31-Jul-2022,Termination (Involuntary),
GH00437,31-Jul-2022,Termination (Involuntary),
GH00465,31-Jul-2022,Termination (Involuntary),
GH00466,31-Jul-2022,Termination (Involuntary),
GH00470,31-Jul-2022,Termination (Involuntary),
GH00481,31-Jul-2022,Termination (Involuntary),
GH00480,31-Jul-2022,Termination (Involuntary),
GH00492,31-Jul-2022,Termination (Involuntary),
GH00509,31-Jul-2022,Termination (Involuntary),
GH00514,31-Jul-2022,Termination (Involuntary),
GH00536,31-Jul-2022,Termination (Involuntary),
GH00552,31-Jul-2022,Termination (Involuntary),
GH00561,31-Jul-2022,Termination (Involuntary),
GH00575,31-Jul-2022,Termination (Involuntary),
GH00585,31-Jul-2022,Termination (Involuntary),
GH00608,31-Jul-2022,Termination (Involuntary),
GH00615,31-Jul-2022,Termination (Involuntary),
GH00632,31-Jul-2022,Termination (Involuntary),
GH00635,31-Jul-2022,Termination (Involuntary),
GH00637,31-Jul-2022,Termination (Involuntary),
GH00642,31-Jul-2022,Termination (Involuntary),
GH00228,31-Jul-2022,Termination (Involuntary),
GH00300,29-Jul-2022,Resignation (Voluntary),
2441,22-Jul-2022,Termination (Involuntary),Termination
GH00080,18-Jul-2022,Resignation (Voluntary),
GH00531,30-Jun-2022,Resignation (Voluntary),
GH00557,16-Jun-2022,Termination (Involuntary),
GH00160,16-Jun-2022,Termination (Involuntary),
GH00191,13-Jun-2022,Termination (Involuntary),
GH00128,10-Jun-2022,Resignation (Voluntary),
GH00574,6-Jun-2022,Termination (Involuntary),
GH00090,6-Jun-2022,Termination (Involuntary),
GH00269,6-Jun-2022,Termination (Involuntary),
GH00199,6-Jun-2022,Termination (Involuntary),
GH00494,2-Jun-2022,Resignation (Voluntary),
GH00610,1-Jun-2022,Termination (Involuntary),
GH00537,1-Jun-2022,Termination (Involuntary),
GH00528,1-Jun-2022,Termination (Involuntary),
GH00344,1-Jun-2022,Termination (Involuntary),
GH00002,31-May-2022,Termination (Involuntary),
GH00520,31-May-2022,Resignation (Voluntary),
GH00601,31-May-2022,Resignation (Voluntary),
GH00113,31-May-2022,Termination (Involuntary),
GH00348,31-May-2022,Resignation (Voluntary),
GH00309,27-May-2022,Resignation (Voluntary),
GH00452,25-May-2022,Termination (Involuntary),
GH00144,23-May-2022,Termination (Involuntary),
GH00445,18-May-2022,Termination (Involuntary),
GH00405,5-May-2022,Resignation (Voluntary),
GH00307,29-Apr-2022,Resignation (Voluntary),
GH00060,22-Apr-2022,Resignation (Voluntary),
GH00400,22-Apr-2022,Resignation (Voluntary),
GH00495,11-Apr-2022,Resignation (Voluntary),
GH00229,11-Mar-2022,Resignation (Voluntary),
GH00380,10-Mar-2022,Termination (Involuntary),
GH00275,7-Mar-2022,Termination (Involuntary),
GH00419,22-Feb-2022,Resignation (Voluntary),
GH00239,18-Feb-2022,Resignation (Voluntary),
GH00392,23-Dec-2021,Resignation (Voluntary),cannot pass probation
GH00396,3-Dec-2021,Resignation (Voluntary),Not used to WFH
GH00272,26-Nov-2021,Resignation (Voluntary),Family reasons
GH00271,10-Nov-2021,Termination (Involuntary),cannot pass probation
GH00282,30-Oct-2021,Resignation (Voluntary),relocated to HK office
GH00343,14-Oct-2021,Resignation (Voluntary),got other offer
GH00033,12-Oct-2021,Termination (Involuntary),breach of confidential information
GH00134,26-Aug-2021,Resignation (Voluntary),intern agreement end
GH00260,19-Aug-2021,Resignation (Voluntary),resigned without notification
GH00125,6-Aug-2021,Resignation (Voluntary),intern agreement end
GH00097,16-Jun-2021,Termination (Involuntary),do not meet the requirement and cannot pass probation
GH00057,22-May-2021,Resignation (Voluntary),run own business
GH00112,15-May-2021,Resignation (Voluntary),do not meet his career expectation
GH00118,30-Apr-2021,Resignation (Voluntary),got other offer
GH00046,12-Apr-2021,Resignation (Voluntary),got other offer
GH00084,5-Mar-2021,Resignation (Voluntary),got other offer
GH00076,18-Dec-2020,Resignation (Voluntary),Family reasons
GH00040,30-Nov-2020,Resignation (Voluntary),got Tencent offer
GH00044,20-Nov-2020,Resignation (Voluntary),move to SH
GH00012,31-Oct-2020,Resignation (Voluntary),relocated to HK office
GH00031,21-Aug-2020,Resignation (Voluntary),got Tencent offer
GH00056,21-Aug-2020,Termination (Involuntary),cannot pass probation
GH00042,16-Aug-2020,Resignation (Voluntary),got Tencent offer
GH00007,29-May-2020,Termination (Involuntary),do not meet the requirement of senior level
GH00041,31-Dec-2019,Resignation (Voluntary),Relocate to another region or country
